q01	d004,d006,d016,d028,d038,d039,d060,d065,d074,d082,d085,d094,d099,d100,d116,d130,d136,d152,d153,d162,d164,d170,d172,d184,d185,d186,d195,d209,d212,d215,d229,d234,d243,d254,d255,d265,d281,d284,d299,d312,d315,d316,d317,d329
q02	d001,d002,d003,d004,d005,d007,d010,d014,d017,d018,d019,d020,d021,d022,d023,d024,d029,d031,d037,d039,d040,d042,d043,d044,d045,d046,d047,d050,d051,d052,d054,d055,d058,d061,d062,d063,d064,d067,d068,d070,d077,d079,d080,d082,d083,d085,d098,d101,d102,d103,d105,d106,d107,d108,d116,d117,d118,d119,d120,d121,d122,d124,d128,d129,d130,d131,d133,d134,d136,d137,d139,d140,d141,d142,d143,d144,d145,d147,d149,d150,d151,d152,d153,d154,d158,d160,d161,d162,d163,d164,d166,d172,d173,d179,d180,d184,d185,d186,d187,d188,d190,d191,d194,d196,d197,d198,d200,d202,d203,d204,d205,d206,d210,d211,d212,d214,d215,d216,d218,d219,d221,d222,d224,d225,d226,d227,d228,d229,d230,d232,d233,d234,d236,d237,d238,d239,d242,d243,d244,d245,d246,d248,d249,d250,d251,d252,d254,d255,d257,d260,d262,d263,d264,d266,d268,d269,d271,d273,d277,d278,d279,d281,d282,d283,d284,d286,d287,d290,d291,d293,d294,d296,d297,d298,d300,d302,d304,d305,d306,d307,d308,d309,d313,d314,d316,d317,d318,d319,d320,d323,d324,d327,d328,d330
q03	d105,d147,d152,d283,d291,d318
q04	d001,d003,d005,d006,d007,d008,d009,d010,d012,d013,d014,d018,d019,d020,d021,d022,d023,d024,d027,d028,d029,d030,d031,d032,d036,d037,d038,d039,d040,d041,d042,d043,d044,d046,d047,d048,d049,d050,d051,d052,d054,d055,d056,d058,d059,d060,d061,d062,d065,d066,d069,d070,d071,d073,d075,d076,d079,d080,d081,d082,d086,d087,d088,d089,d091,d092,d093,d095,d098,d100,d102,d104,d106,d108,d110,d111,d112,d113,d114,d115,d117,d118,d119,d120,d121,d122,d123,d124,d125,d126,d129,d130,d131,d133,d136,d142,d143,d144,d145,d146,d147,d151,d156,d160,d163,d164,d166,d168,d174,d175,d179,d180,d181,d183,d184,d186,d189,d191,d192,d193,d194,d195,d196,d197,d198,d199,d200,d202,d203,d205,d206,d207,d208,d209,d210,d211,d212,d215,d216,d217,d219,d221,d225,d226,d227,d229,d230,d231,d234,d235,d237,d238,d241,d242,d246,d247,d248,d249,d250,d251,d252,d253,d254,d255,d256,d257,d259,d261,d262,d263,d264,d265,d266,d268,d269,d270,d271,d274,d275,d276,d278,d279,d280,d286,d287,d289,d291,d292,d293,d294,d295,d296,d298,d300,d302,d303,d304,d306,d307,d308,d310,d312,d314,d319,d324,d327,d330,d331
q06	d003,d004,d018,d021,d023,d025,d026,d029,d033,d034,d041,d060,d061,d069,d079,d087,d098,d104,d128,d134,d139,d154,d166,d170,d186,d193,d208,d211,d212,d233,d257,d262,d265,d297,d303,d329
q07	d004,d031,d034,d042,d044,d060,d088,d098,d117,d123,d129,d140,d151,d163,d165,d234,d253,d262,d263,d271,d282,d284,d289,d301
q08	d005,d006,d019,d026,d028,d029,d030,d039,d040,d044,d054,d055,d059,d060,d065,d069,d070,d071,d074,d075,d082,d085,d088,d089,d091,d093,d096,d097,d102,d103,d104,d106,d108,d109,d110,d112,d115,d117,d119,d121,d122,d123,d124,d125,d130,d139,d140,d142,d151,d153,d157,d168,d179,d180,d192,d193,d195,d197,d198,d199,d202,d205,d208,d210,d211,d213,d215,d218,d227,d232,d241,d242,d246,d251,d253,d254,d257,d258,d263,d268,d269,d270,d271,d275,d278,d280,d281,d291,d292,d303,d304,d311,d312,d323,d329,d330
q09	d177,d198,d199,d205,d217,d219,d223
q10	d001,d003,d009,d010,d012,d014,d015,d016,d017,d018,d020,d021,d022,d023,d024,d025,d026,d029,d030,d031,d034,d035,d036,d039,d040,d041,d042,d044,d045,d046,d048,d052,d054,d055,d057,d058,d059,d060,d061,d063,d064,d065,d066,d068,d069,d071,d072,d073,d074,d076,d077,d079,d081,d085,d086,d091,d092,d093,d095,d097,d099,d100,d101,d107,d109,d110,d113,d114,d115,d117,d118,d122,d124,d125,d126,d129,d130,d131,d132,d133,d135,d136,d137,d138,d141,d142,d144,d148,d151,d152,d154,d159,d165,d167,d168,d170,d171,d172,d173,d174,d175,d177,d179,d185,d190,d192,d193,d194,d198,d199,d201,d202,d203,d204,d205,d209,d211,d212,d214,d215,d216,d217,d218,d219,d220,d221,d223,d229,d230,d231,d232,d233,d234,d235,d237,d240,d241,d244,d246,d247,d248,d249,d250,d251,d254,d255,d256,d257,d258,d259,d260,d262,d263,d264,d268,d271,d273,d279,d280,d281,d282,d283,d285,d288,d289,d291,d293,d294,d295,d299,d303,d305,d307,d308,d310,d312,d313,d314,d316,d319,d320,d322,d323,d324,d325,d327,d328,d329,d330,d331
q12	d010,d015,d077,d078,d081,d096,d102,d129,d132,d138,d141,d143,d150,d156,d169,d182,d184,d190,d191,d211,d229,d239,d250,d258,d277,d280,d297,d301,d302
q13	d001,d002,d003,d004,d007,d013,d014,d015,d016,d017,d018,d019,d020,d021,d022,d023,d024,d026,d028,d029,d033,d037,d040,d042,d043,d045,d046,d047,d049,d050,d051,d052,d055,d056,d058,d059,d060,d061,d063,d064,d067,d070,d072,d074,d075,d077,d079,d080,d083,d085,d087,d088,d094,d096,d098,d099,d100,d101,d102,d103,d105,d106,d107,d113,d117,d118,d119,d121,d122,d123,d124,d126,d128,d129,d130,d134,d135,d136,d138,d139,d141,d142,d143,d144,d145,d147,d148,d149,d150,d152,d153,d156,d157,d158,d159,d160,d161,d162,d163,d164,d165,d166,d171,d172,d173,d174,d179,d180,d182,d183,d184,d185,d186,d188,d189,d190,d191,d193,d194,d196,d197,d198,d200,d202,d203,d204,d205,d210,d211,d212,d214,d215,d216,d218,d219,d221,d222,d224,d225,d226,d227,d228,d229,d230,d232,d233,d234,d235,d236,d237,d238,d239,d240,d241,d243,d244,d245,d246,d248,d249,d250,d253,d255,d256,d257,d258,d259,d262,d263,d266,d269,d270,d271,d272,d273,d274,d276,d277,d278,d279,d280,d281,d284,d285,d286,d287,d288,d289,d290,d291,d292,d293,d294,d297,d298,d300,d302,d303,d304,d305,d306,d307,d309,d310,d311,d312,d313,d314,d316,d317,d318,d319,d323,d324,d327,d328,d329,d330
